"","state","naics","emp"
"1","Alabama","11",130
"2","Alabama","21",670
"3","Alabama","22",7840
"4","Alabama","23",28170
"5","Alabama","31",45600
"6","Alabama","32",19310
"7","Alabama","33",41580
"8","Alabama","42",78000
"9","Alabama","44",175790
"10","Alabama","45",67280
"11","Alabama","48",12490
"12","Alabama","49",2070
"13","Alabama","51",15430
"14","Alabama","52",98150
"15","Alabama","53",15290
"16","Alabama","54",167000
"17","Alabama","55",20550
"18","Alabama","56",30320
"19","Alabama","61",247940
"20","Alabama","62",474050
"21","Alabama","71",17050
"22","Alabama","72",73960
"23","Alabama","81",26680
"24","Alabama","99",127400
"25","Alaska","21",4810
"26","Alaska","22",450
"27","Alaska","23",5050
"28","Alaska","31",2170
"29","Alaska","42",6130
"30","Alaska","44",23010
"31","Alaska","45",12400
"32","Alaska","48",3250
"33","Alaska","49",420
"34","Alaska","51",2700
"35","Alaska","52",8340
"36","Alaska","53",1840
"37","Alaska","54",18180
"38","Alaska","55",1680
"39","Alaska","56",3210
"40","Alaska","61",38190
"41","Alaska","62",61400
"42","Alaska","71",1960
"43","Alaska","72",14850
"44","Alaska","81",7510
"45","Alaska","99",38600
"46","Arizona","11",390
"47","Arizona","21",3990
"48","Arizona","22",2410
"49","Arizona","23",58260
"50","Arizona","31",48890
"51","Arizona","32",10270
"52","Arizona","33",52210
"53","Arizona","42",98440
"54","Arizona","44",258620
"55","Arizona","45",87860
"56","Arizona","48",17300
"57","Arizona","49",2080
"58","Arizona","51",40640
"59","Arizona","52",215770
"60","Arizona","53",49120
"61","Arizona","54",211070
"62","Arizona","55",30570
"63","Arizona","56",145890
"64","Arizona","61",337180
"65","Arizona","62",570670
"66","Arizona","71",32520
"67","Arizona","72",151870
"68","Arizona","81",55070
"69","Arizona","99",192650
"70","Arkansas","11",600
"71","Arkansas","21",580
"72","Arkansas","22",5250
"73","Arkansas","23",18880
"74","Arkansas","31",29110
"75","Arkansas","32",9100
"76","Arkansas","33",15200
"77","Arkansas","42",56290
"78","Arkansas","44",107450
