"","naics","state","emp","OCC_CODE.x","OCC_Title","TOT_EMP","nonrat","Definition"
"1","62","Alabama",474050,41,"All Occupations",1943760,0.243882989669507,"Health Care and Social Assistance"
"2","61","Alabama",247940,41,"All Occupations",1943760,0.12755690002881,"Educational Services"
"3","44","Alabama",175790,41,"All Occupations",1943760,0.090438119932502,"Retail Trade"
"4","54","Alabama",167000,41,"All Occupations",1943760,0.0859159567024736,"Professional, Scientific, and Technical Services"
"5","52","Alabama",98150,41,"All Occupations",1943760,0.0504949170679508,"Finance and Insurance"
"6","62","Alaska",61400,25,"All Occupations",315250,0.194766058683584,"Health Care and Social Assistance"
"7","61","Alaska",38190,25,"All Occupations",315250,0.121141950832672,"Educational Services"
"8","44","Alaska",23010,25,"All Occupations",315250,0.0729896907216495,"Retail Trade"
"9","54","Alaska",18180,25,"All Occupations",315250,0.0576685170499604,"Professional, Scientific, and Technical Services"
"10","72","Alaska",14850,25,"All Occupations",315250,0.0471054718477399,"Accommodation and Food Services"
"11","62","Arizona",570670,41,"All Occupations",2789520,0.204576414580286,"Health Care and Social Assistance"
"12","61","Arizona",337180,41,"All Occupations",2789520,0.120873842094697,"Educational Services"
"13","44","Arizona",258620,41,"All Occupations",2789520,0.0927112908313975,"Retail Trade"
"14","52","Arizona",215770,41,"All Occupations",2789520,0.0773502251283375,"Finance and Insurance"
"15","54","Arizona",211070,41,"All Occupations",2789520,0.0756653474432877,"Professional, Scientific, and Technical Services"
"16","62","Arkansas",316210,41,"All Occupations",1210120,0.261304664000264,"Health Care and Social Assistance"
"17","61","Arkansas",166210,41,"All Occupations",1210120,0.137350014874558,"Educational Services"
"18","44","Arkansas",107450,41,"All Occupations",1210120,0.0887928469903811,"Retail Trade"
"19","54","Arkansas",62150,41,"All Occupations",1210120,0.0513585429544177,"Professional, Scientific, and Technical Services"
"20","42","Arkansas",56290,41,"All Occupations",1210120,0.0465160479952401,"Wholesale Trade"
"21","62","California",3728220,41,"All Occupations",17007690,0.219207899485468,"Health Care and Social Assistance"
"22","54","California",2015680,41,"All Occupations",17007690,0.118515800793641,"Professional, Scientific, and Technical Services"
"23","61","California",1824410,41,"All Occupations",17007690,0.10726971152461,"Educational Services"
"24","44","California",1290120,41,"All Occupations",17007690,0.0758550984878017,"Retail Trade"
"25","72","California",934160,41,"All Occupations",17007690,0.0549257424141668,"Accommodation and Food Services"
"26","62","Colorado",555360,41,"All Occupations",2620640,0.211917699493254,"Health Care and Social Assistance"
"27","61","Colorado",365620,41,"All Occupations",2620640,0.139515538189145,"Educational Services"
"28","54","Colorado",339020,41,"All Occupations",2620640,0.129365345869711,"Professional, Scientific, and Technical Services"
"29","44","Colorado",213530,41,"All Occupations",2620640,0.0814800964649856,"Retail Trade"
"30","72","Colorado",158950,41,"All Occupations",2620640,0.060653122901276,"Accommodation and Food Services"
"31","62","Connecticut",458610,41,"All Occupations",1660200,0.276237802674377,"Health Care and Social Assistance"
"32","61","Connecticut",241170,41,"All Occupations",1660200,0.14526563064691,"Educational Services"
"33","54","Connecticut",148640,41,"All Occupations",1660200,0.0895313817612336,"Professional, Scientific, and Technical Services"
"34","52","Connecticut",141640,41,"All Occupations",1660200,0.0853150222864715,"Finance and Insurance"
"35","44","Connecticut",129680,41,"All Occupations",1660200,0.0781110709553066,"Retail Trade"
"36","62","Delaware",107730,41,"All Occupations",448510,0.240195313370939,"Health Care and Social Assistance"
"37","61","Delaware",51320,41,"All Occupations",448510,0.11442331274665,"Educational Services"
"38","52","Delaware",47630,41,"All Occupations",448510,0.106196071436534,"Finance and Insurance"
"39","54","Delaware",40350,41,"All Occupations",448510,0.0899645492854117,"Professional, Scientific, and Technical Services"
"40","44","Delaware",38720,41,"All Occupations",448510,0.0863302936389378,"Retail Trade"
"41","62","Florida",2105680,41,"All Occupations",8608660,0.24460020490994,"Health Care and Social Assistance"
"42","44","Florida",964050,41,"All Occupations",8608660,0.111986069841299,"Retail Trade"
"43","61","Florida",903630,41,"All Occupations",8608660,0.104967555926242,"Educational Services"
"44","54","Florida",879110,41,"All Occupations",8608660,0.102119261301991,"Professional, Scientific, and Technical Services"
"45","72","Florida",587970,41,"All Occupations",8608660,0.0682998283124203,"Accommodation and Food Services"
"46","62","Georgia",909460,41,"All Occupations",4394740,0.20694284531053,"Health Care and Social Assistance"
"47","61","Georgia",529860,41,"All Occupations",4394740,0.120566859472915,"Educational Services"
"48","54","Georgia",415490,41,"All Occupations",4394740,0.0945425667957604,"Professional, Scientific, and Technical Services"
"49","44","Georgia",407500,41,"All Occupations",4394740,0.0927244842698317,"Retail Trade"
"50","52","Georgia",244000,41,"All Occupations",4394740,0.0555209181885618,"Finance and Insurance"
"51","62","Idaho",157180,41,"All Occupations",706140,0.222590421162942,"Health Care and Social Assistance"
"52","61","Idaho",80070,41,"All Occupations",706140,0.113391112244031,"Educational Services"
